name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity
Convent of Santa Monica and The Chapel of The Weeping Cross,"GW24+CXQ Monte Santo, Old Goa, Goa 403402, India",4.6,111.0,ChIJ1TGrOvK-vzsR97M1pNwn4yY,"tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.5009908,73.9073793,,,"['historical', 'religious']",0,1,0.8999999999999999,0.8994804495073891,0.40758953120140157,0.7027240821849942,0.9084657038498933,0.7735284658595168
"Shree Ramnath Damodar Sansthaan, Goa","Zambaulim, Quepem, Goa 403705, India",4.8,1595.0,ChIJdz1rKzxTvjsRwaH6hzHpmN0,"hindu_temple, place_of_worship, point_of_interest, establishment",Canacona,15.1866463,74.0949954,,,"['nature', 'religious']",1,2,0.95,0.9499322119955059,0.7179034471567453,0.8571207060600017,0.9399987939967839,0.9118317082255046
Shri Chandreshwar Bhootnath Temple,"627P+5PQ, Unnamed Road, Talewada, Paroda, Goa 403705, India",4.7,1414.0,ChIJ0_uBqlCtvzsRSPxTyrAkFmM,"hindu_temple, tourist_attraction, place_of_worship, park, point_of_interest, establishment",Sanguem,15.2134237,74.0365689,,,"['nature', 'religious']",3,4,0.925,0.9249412087242598,0.7760305729959638,0.8653769544329414,0.9195891177403319,0.9410474066498266
"Shree Damodar, Temple","7XQ7+X79, Fatorda, Madgaon, Goa 403601, India",4.7,667.0,ChIJ-e0cpWGxvzsRAbBV0ZRV7LQ,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2899024,73.963249,,,"['nature', 'religious']",3,4,0.925,0.9248754645880652,0.6957417809348659,0.8332219911267855,0.9195891177403319,0.9060807430760243
"Damodara Temple Loliem, South Goa","Shri Damodar Vidyalaya, Loliem, Goa 403728, India",4.4,81.0,ChIJQci9InpbvjsR81FrhPgDM7s,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Canacona,14.942263,74.0704844,,,"['nature', 'religious']",1,2,0.8500000000000001,0.8499001261564341,0.42894769123745513,0.6815191521888425,0.9399987939967839,0.7250213048583701
Shree Damodar Mandir,"Dr Borges, Building nr, Childrens Park, Vaddem, Vasco Da Gama, Goa 403802, India",4.8,393.0,ChIJo02cU7zHvzsR5-DQ2RfvCHk,"hindu_temple, place_of_worship, point_of_interest, establishment",Mormugao (Vasco),15.3982086,73.815334,,,"['nature', 'religious']",0,1,0.95,0.9497254069665675,0.5162442827388511,0.7763329572754809,0.9084657038498933,0.8545539517733464
Kamakshi Temple Arch,"82CM+8XC, Shiroda, Goa 403103, India",4.8,200.0,ChIJyZ7-9QevvzsRFR22zt8ZYD4,"hindu_temple, place_of_worship, point_of_interest, establishment",Ponda,15.3208195,74.0348865,,,"['historical', 'religious']",3,4,0.95,0.9494617430090925,0.5672766493627511,0.7965877055505559,0.9195891177403319,0.8662430755030874
Shri Damodar Sal,"7XJ4+4Q9, Comba, Madgaon, Goa 403601, India",4.7,254.0,ChIJYfYxUuazvzsR1ADZVfi4QtA,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Salcete (Margao),15.2802765,73.9570518,,,"['nature', 'religious']",3,4,0.925,0.9246737660581474,0.5927302826500837,0.791896372694922,0.9195891177403319,0.8611415222494324
Alorna Fort,"PW24+35C, Alorna, Goa 403503, India",4.1,339.0,ChIJGZUMw06SvzsRD4ROWUW0Vr0,"tourist_attraction, point_of_interest, establishment",Bardez (Mapusa),15.7001787,73.9053878,,,"['adventure', 'historical']",0,1,0.7749999999999999,0.7751965010141987,0.5035112387402382,0.6665223961046145,0.9084657038498933,0.7336792058082411
Betul Fort,"Canaguinim, Goa, India",3.9,1499.0,ChIJobqioGVMvjsRBDAPLJzsyTk,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.1409989,73.9506808,,,"['adventure', 'historical']",1,2,0.725,0.7250778735632183,0.711864955431539,0.7197927063105466,0.9399987939967839,0.765737904035023
Forte de Tiracol,"PMCM+X4, Querim, Goa 403524, India",4.4,170.0,ChIJgWvbrUvxvzsRcF-cwddaVZo,"point_of_interest, establishment",Bardez (Mapusa),15.7213968,73.6865637,,,"['adventure', 'historical']",0,1,0.8500000000000001,0.8499521072796935,0.4441429988124684,0.6876284638928034,0.9084657038498933,0.7569118580688005
St. Estevam Fort,"St Estevam, Jua, St Estevam Island, Goa 403106, India",4.4,399.0,ChIJq6pa8MG9vzsR7Ku-9sMcN1U,"tourist_attraction, point_of_interest, establishment",Ponda,15.5360191,73.9543531,,,"['adventure', 'historical']",0,1,0.8500000000000001,0.8499795258620692,0.5175498167058551,0.7170076421995835,0.9084657038498933,0.7892511948013563
