name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Beach Sun set View Point,"CQ4P+PFM, Headland Sada, Vasco Da Gama, Mormugao, Goa 403804, India",4.7,48.0,ChIJuzunganHvzsRn9Vmk-FqYs8,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.4068494,73.7861705,,,"['beaches', 'scenic']"
MORJIM BEACH NORTH GOA,"943, Morjim Beach Road, Morjim, Goa 403512, India",4.7,23.0,ChIJXxFhXA_pvzsRvAtB8uO7J_8,"tourist_attraction, point_of_interest, establishment",Pernem,15.6278365,73.7281319,,,['beaches']
Carmelite church ruins,"GW39+355, Old Goa, Goa 403402, India",4.7,9.0,ChIJKRKDYgC_vzsRvlbgYtg-b5Y,"point_of_interest, establishment",Salcete (Margao),15.5026414,73.9179693,,,"['historical', 'religious']"
Old Bridge Curpem,"45HQ+8HX, Kurpe",4.7,6.0,ChIJkW4juaNVvjsR4GJEu-QDzhM,"tourist_attraction, point_of_interest, establishment",Canacona,15.1283741,74.188976,,,['historical']
Palolem Beach,"Palolem Beach, Goa, India",4.6,28949.0,ChIJuwJb0FFFvjsR9bsPS33GGx4,"natural_feature, establishment, beach, relaxation, scenic, nightlife, water sports",Canacona,15.0099648,74.0232186,,,"['adventure', 'beaches', 'nightlife', 'relaxation', 'scenic', 'water sports']"
BENZ WAX MUSEUM & FISH AQUARIUM,"Junction, Calangute - Arpora Rd, near Arpora, Arpora, Goa 403516, India",4.6,27315.0,ChIJaQVTa_LrvzsRHDEKtziA-JE,"museum, point_of_interest, establishment",Bardez (Mapusa),15.5609664,73.7636452,,,['historical']
Arambol Beach,"Arambol Beach, Goa, India",4.6,12992.0,ChIJU2YT71LuvzsRFgfxISbKed0,"natural_feature, establishment",Bardez (Mapusa),15.6846886,73.7032836,,,['beaches']
Cola Beach,"Cola Beach Rd, Kola, Goa 403702, India",4.6,11157.0,ChIJN7gFSwNPvjsRikm58eoZL_U,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0573292,73.9718316,,,['beaches']
Morjim Beach,"JPHH+36R, Morjim, Goa 403512, India",4.6,8145.0,ChIJL0YJ38ruvzsRmbkATYIiC40,"point_of_interest, establishment, beach, relaxation, scenic, photography",Pernem,15.6277403,73.7280048,,,"['beaches', 'photography', 'relaxation', 'scenic']"
W Goa,"Vagator Beach, Bardez, Goa, 403509, India",4.6,7783.0,ChIJn3MIgG_pvzsRfuIlXe1SYEY,"lodging, point_of_interest, establishment",Bardez (Mapusa),15.6024636,73.7369477,,,"['beaches', 'nightlife']"
Naval Aviation Museum,"Bogmalo Road, Vasco Da Gama, Bogmalo, Goa 403806, India",4.6,7127.0,ChIJoW7X1f7HvzsRsbml_wpjpE4,"tourist_attraction, museum, point_of_interest, establishment",Salcete (Margao),15.3746494,73.8387763,,,['historical']
