name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Spring Valley,"Advai Desaiwada, Birondem VP, Goa 403530, India",5.0,5.0,ChIJhWohAACjvzsRWf1N3RjmvO4,"park, point_of_interest, establishment",Sattari (Valpoi),15.4966217,74.1005419,,,['nature']
River queen boat trip and kayaking by Tulsidas ji,"X3V5+JFR, Canacona, Poingunin, Goa 403702, India",5.0,5.0,ChIJ9dbnRgBbvjsRy72DZZVaiWo,"tourist_attraction, point_of_interest, establishment",Canacona,14.9941098,74.0586288,,,['adventure']
Shree Rampurush Gaudepurush Sati Devi Temple (Bandora),"CX47+46P Bandiwade- Bander, Bandoda, Bandiwada, Goa 403401, India",5.0,5.0,ChIJ49Wz0Xu7vzsR9v1Xc6bNGtI,"hindu_temple, place_of_worship, point_of_interest, establishment",Dharbandora,15.4053481,73.9630924,,,['religious']
Kalbhairav temple Gaonkarwaddo Bicholim Goa,"HWJX+JCC, Gainkarwaddo, Dicholi, Goa 403504, India",5.0,4.0,ChIJ45yRlFmXvzsRFTWZjC3BDBg,"hindu_temple, place_of_worship, point_of_interest, establishment",Bicholim,15.5815952,73.9486289,,,['religious']
Massorde spring,"G4GV+3J, Valpoy, Massorde, Goa 403506, India",5.0,4.0,ChIJV1l3DMahvzsR_WKW_p-ZeeA,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5227656,74.143643,,,['nature']
Bāndalagange Waterfalls || Karnataka,"M487+3PV, Sada",5.0,4.0,ChIJL4qt6bGbvzsRuZpoEqv1_3Y,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6652373,74.1142822,,,['nature']
Chapoli Waterfall Canacona South Goa,"23M2+7CH, Chapoli, Canacona, Mallikarjun, Goa 403702, India",5.0,4.0,ChIJZ60NMgBRvjsRsumez_C2uNk,"tourist_attraction, point_of_interest, establishment",Canacona,15.033731,74.050117,,,"['nature', 'shopping']"
Small Waterfall,"86HM+V2, Shigaon, Goa 403410, India",5.0,4.0,ChIJazK4bgAHvzsRmMWDF_G6-TY,"tourist_attraction, point_of_interest, establishment",Dharbandora,15.3297474,74.2325394,,,"['nature', 'shopping']"
Gavcho Waterfall,"F62M+F8J, Surla, Goa 403406, India",5.0,3.0,ChIJ1VJ49kYJvzsRmPfnQVJNPpM,"tourist_attraction, point_of_interest, establishment, waterfall, scenic, peaceful",Dharbandora,15.4512087,74.2332505,,,"['nature', 'peaceful', 'scenic']"
"IPC Hebron Church, Panaji, Goa (Malayalam)","4th Floor, Keni's Hotel, 18th June Rd, Altinho, Panaji, Goa 403001, India",5.0,3.0,ChIJu_LRylPBvzsRKlegdAnOajE,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4974132,73.8255124,,,['religious']
River Of Life Church (ROLC),"Before Kadamba Tourist home, Eutico Apartments, Buttem bhat, Merces, Panaji, Mersi Tem, Goa 403005, India",5.0,3.0,ChIJRRQmBIbAvzsRZ_-RMsArvTg,"church, place_of_worship, point_of_interest, establishment",Tiswadi (Panaji),15.4865368,73.8511855,,,"['nature', 'religious']"
Shrine,"C4M5+2HM, Tisca, Goa 403406, India",5.0,3.0,ChIJtaZmhHGlvzsRi6qY1cbZYNg,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.4325977,74.1089303,,,['religious']
Rudreshwar Mahadev Mandir,"H24G+2Q2, Rudreshwar Colony, Harvale, Goa 403505, India",5.0,3.0,ChIJwdeqFQC9vzsRHnvPUR_PAgc,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.5550175,74.026886,,,['religious']
Sakhleshwar mandir,"H2MF+XW9, Pariye, Goa 403505, India",5.0,3.0,ChIJ5Qj37PyXvzsRbxpljeM-WNM,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.5849149,74.0248667,,,['religious']
Gulambe waterfall chorla,"M46C+4H, Sada",5.0,3.0,ChIJMTH1LACZvzsRN7gDri_NMLM,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.660319,74.121424,,,['nature']
Shirgao Manas,"JV4V+4MW, Bicholim – Poira – Sirigao - Assonora, Corjuem, Shrigao, Goa 403503, India",5.0,2.0,ChIJG66IfgCVvzsR2SkN_eE_J88,"point_of_interest, establishment",Bicholim,15.6052223,73.8939276,,,['religious']
Ghogal waterfall,"HX8P+VHJ, Karapur",5.0,2.0,ChIJV_zNYgCXvzsRlMvG5NmzRAU,"tourist_attraction, point_of_interest, establishment",Bicholim,15.5672137,73.9863965,,,['nature']
Satteri Devi Temple,"647X+G6, Sanguem, Goa 403704, India",5.0,2.0,ChIJlQL8cUGrvzsRe1JLBCVM950,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.2137876,74.1481576,,,['religious']
Shri Huligemma Devi Temple (Goa),"C36R+37P, Pratapnagar, Darbandora, Goa 403406, India",5.0,2.0,ChIJH4yChjalvzsROcimDp2yKiE,"hindu_temple, place_of_worship, point_of_interest, establishment",Dharbandora,15.4102185,74.0906928,,,['religious']
Anthony Da Costa Coconut Plantation,"CR2R+76M, Chicalim",5.0,1.0,ChIJ9appPgDHvzsR6QsHJruw2cw,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.4007049,73.8405456,,,"['food', 'nature']"
Sahakari Spice Plantation,"C25F+CQ3 Sahakari Spice Farm, Curti, Ponda, Goa 403401, India",5.0,1.0,ChIJ9XrYTAC7vzsRQz6Bk0B68DE,"park, point_of_interest, establishment",Ponda,15.4085238,74.0244231,,,"['food', 'nature']"
"Bhagwan Mahavir Wildlife Sanctuary, Bolkarne Gate","C5JW+X52, Surla, Goa 403406, India",5.0,1.0,ChIJpXeS16mnvzsRa2DeqYmebpw,"point_of_interest, establishment",Ponda,15.4323949,74.1953814,,,['nature']
Bhagwan Mahavir Wildlife Sanctuary Check Post,"C5MW+235, Unnamed Road, Surla, Goa 403406, India",5.0,1.0,ChIJP7q-VMynvzsRMd6RujwGemU,"point_of_interest, establishment",Ponda,15.4325051,74.1952426,,,['nature']
Karmale Waterfall,"C2R8+XR, Keri",5.0,1.0,ChIJF5SFRQC7vzsRAFNKsVhgl8s,"tourist_attraction, point_of_interest, establishment",Ponda,15.4424787,74.0170052,,,['nature']
Dabem vaircho trek waterfall,"H456+P3V, Dabem, Jarma, Goa 403506, India",5.0,1.0,ChIJT9LKYACjvzsRJqvn73XzNrE,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5593564,74.1101854,,,"['adventure', 'nature']"
mhalshekar wada Poriem satari goa,"Mhalshekar wada, Pariye, Satari, Goa 403505, India",5.0,1.0,ChIJb7QSJQCZvzsREwI2iXKLFUQ,"hindu_temple, place_of_worship, point_of_interest, establishment",Sattari (Valpoi),15.5794829,74.0354899,,,['religious']
Bhati waterfall,"663C+3W3, Bati, Goa 403704, India",5.0,1.0,ChIJCQ9zHwD_vjsR610iVIUUfvI,"park, point_of_interest, establishment",Sanguem,15.2026283,74.2223068,,,['nature']
RAJ DUDHSAGAR WATERFALLS,"Gudi, Paroda, Margao, Goa 403714, India",5.0,1.0,ChIJnQ8VZmmtvzsRHOG0_45A7Ds,"amusement_park, point_of_interest, establishment",Sanguem,15.2428627,74.0355993,,,['nature']
Saraswati temple vakarwada,"64PX+H4, Sanguem, Goa 403706, India",5.0,1.0,ChIJBy4eKYGrvzsRfpZ6sU6qqEw,"hindu_temple, place_of_worship, point_of_interest, establishment",Sanguem,15.2364551,74.1465475,,,['religious']
Hidden Waterfall,"25XG+WVJ, Mangal, Goa 403702, India",5.0,1.0,ChIJQY6pAgBXvjsRZFGL41GIuXo,"park, point_of_interest, establishment",Dharbandora,15.0498253,74.1771558,,,['nature']
Goosebumps Virtual Escape,"first floor, 516/2, Calangute - Baga Rd, Arpora, Baga, Goa 403509, India",4.9,2106.0,ChIJ92vg_37rvzsRdvBfxHb-CS0,"tourist_attraction, amusement_park, point_of_interest, store, establishment",Tiswadi (Panaji),15.5692012,73.7578682,,,"['nature', 'shopping']"
Baga kayaking - Vhoddekar,"Calangute - Baga Rd, Saunta Vaddo, Calangute, Goa 403516, India",4.9,1478.0,ChIJUZcw0bXrvzsR7SWTFIrxfkA,"tourist_attraction, travel_agency, point_of_interest, store, establishment,adventure",Bardez (Mapusa),15.5557145,73.7638814,,,"['adventure', 'shopping']"
