name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
Velsao Beach,"9V3M+QG9, Consua, Goa 403712, India",4.3,4971.0,ChIJY6h2EJ-3vzsRB_haiJ7F51w,"tourist_attraction, point_of_interest, establishment,beach",Mormugao (Vasco),15.3544232,73.8838637,,,['beaches']
La Cabana Beach & Spa,"Ashvem Beach, Ashvem Wada, Mandrem, Goa 403527, India",4.3,4568.0,ChIJPw4jycjuvzsRB9S1HRzbLZ8,"lodging, point_of_interest, establishment",Pernem,15.6428474,73.7203813,,,['beaches']
Dolphin Point,"Fort Aguada Rd, Aguada Fort Area, Candolim, Goa 403515, India",4.3,4270.0,ChIJ78Pnrg7BvzsRDdqimlbAw_c,"tourist_attraction, point_of_interest, establishment,viewpoint",Tiswadi (Panaji),15.4972198,73.781824,,,"['fort', 'historical', 'scenic']"
Goa Water Sports Activities and Boat Tours,"near Carvalho's Bar & Restaurant Old Petrol Pump, Calangute, Goa 403516, India",4.3,4234.0,ChIJuT9rLsHrvzsRdSNYqdI0qUQ,"travel_agency, school, point_of_interest, establishment,adventure",Bardez (Mapusa),15.5450466,73.7625115,,,"['adventure', 'food', 'historical', 'nightlife', 'water sports']"
Fort Tiracol Goa,"Taluka, Pernem, Tiracol, Goa 403524, India",4.3,3778.0,ChIJp9s4gCfwvzsRMv-zSTSCEVY,"lodging, point_of_interest, establishment,fort",Bardez (Mapusa),15.7213751,73.686522,,,"['fort', 'historical']"
Fort Aguada Lighthouse,"FQRF+RJG, Aguada - Siolim Rd, Sinquerium, Candolim, Aguada Fort Area, Goa, Candolim, Goa 403515, India",4.3,2481.0,ChIJTbWbIA3BvzsR-QwVIsn68-Y,"tourist_attraction, point_of_interest, establishment,viewpoint",Bardez (Mapusa),15.4920574,73.7740664,,,"['fort', 'historical', 'scenic']"
Montego Bay Beach Village - Beach Resort In North Goa,"Vithaldas Waddo, Morjim, Goa 403512, India",4.3,2127.0,ChIJZ1Sh30vpvzsRn02K543oOMU,"bar, lodging, restaurant, food, point_of_interest, establishment",Pernem,15.6279066,73.7285128,,,"['beaches', 'food', 'nightlife']"
Shiva's Face,"HPRM+XGJ Ozran Beach, Vagator, Goa 403509, India",4.3,1427.0,ChIJXZmiGnfpvzsRHiMVouy_NnE,"tourist_attraction, point_of_interest, establishment,viewpoint",Bardez (Mapusa),15.5924547,73.7337776,,,"['beaches', 'scenic']"
Goa Science Centre & Planetarium,"Marine Highway, Miramar, Panaji, Goa 403001, India",4.3,953.0,ChIJdeIJ_cLAvzsRv6JHTO2XsUI,"tourist_attraction, museum, point_of_interest, establishment",Tiswadi (Panaji),15.4774432,73.8089382,,,['historical']
Archaeological Museum of Goa,"GW36+797, behind Se Cathedral, Old Goa, Goa 403402, India",4.3,935.0,ChIJkRYoGPO-vzsRJtAbk3TQPEc,"tourist_attraction, museum, point_of_interest, establishment,historical",Salcete (Margao),15.503157,73.9109342,,,"['historical', 'religious']"
Candolim Beach Water Sports,"Candolim Rd, Candolim, Calangute, Goa 403516, India",4.3,934.0,ChIJB9aW60rBvzsRh8LHIhKk6fM,"school, travel_agency, store, point_of_interest, establishment,adventure",Bardez (Mapusa),15.5333171,73.7621735,,,"['adventure', 'beaches', 'shopping', 'water sports']"
Seashells beach,"Siridao, Goa 403108, India",4.3,742.0,ChIJhaMrnGi5vzsROP4xHUOrXxk,"tourist_attraction, point_of_interest, establishment",Tiswadi (Panaji),15.4357505,73.8605905,,,['beaches']
Callgunte Beach,"Callgunte Beach, Near Calangute Beach, Calangute, Goa 403516, India",4.3,640.0,ChIJTYXuY_3BvzsRq4_IXSwnlic,"natural_feature, establishment",Bardez (Mapusa),15.5446641,73.7576483,,,['beaches']
Nuem Beach,"4W7P+2C9, Canaguinim, Goa, India",4.3,593.0,ChIJG1f1hPhLvjsR25vn_7pOw6M,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.1125435,73.9361214,,,['beaches']
